post_id,post_date,topic,format,hook_type,post_time,reach,likes,comments_count,shares,saves,retention_rate,followers_gained,viral_coefficient,save_to_share_ratio
P0067,2026-03-11,Career Burnout,Short,Text,Evening,1550,134,10,17,24,0.825,4,15.806451612903224,1.41
P0068,2026-05-30,Financial Stress,Short,Visual,Morning,1661,98,8,56,63,0.473,15,25.496688741721858,1.12
P0069,2026-04-11,Friendship Fallouts,Long,Visual,Afternoon,715,30,2,20,26,0.396,8,21.678321678321677,1.3
P0070,2026-05-25,Career Burnout,Long,Visual,Afternoon,2042,178,14,38,62,0.505,9,21.890303623898138,1.63
P0071,2026-03-28,Loneliness,Short,Text,Afternoon,2006,103,7,77,67,0.667,13,25.0,0.87
P0072,2026-04-21,Loneliness,Short,Text,Afternoon,2057,161,9,99,85,0.851,25,32.59601361205639,0.86
P0073,2026-04-27,Imposter Syndrome,Long,Text,Afternoon,1130,52,1,39,40,0.584,11,23.805309734513276,1.03
P0074,2026-05-11,Social Anxiety,Short,Text,Evening,2126,86,4,74,69,0.564,17,22.60112888052681,0.93
P0075,2026-07-16,Dating,Long,Text,Night,1199,78,6,26,40,0.554,10,21.3511259382819,1.54
P0076,2026-04-15,Financial Stress,Short,Visual,Evening,2065,109,6,78,57,0.701,15,23.510895883777238,0.73
P0077,2026-06-20,Overthinking,Long,Visual,Morning,1014,44,1,15,21,0.548,3,13.954635108481261,1.4
P0078,2026-06-07,Financial Stress,Long,Text,Morning,695,39,3,15,22,0.526,3,20.0,1.47
P0079,2026-06-20,Overthinking,Short,Text,Morning,1391,67,2,20,44,0.51,6,17.038102084831056,2.2
P0080,2026-03-18,Social Anxiety,Short,Text,Night,2046,152,4,88,86,0.331,15,30.840664711632453,0.98
P0081,2026-07-08,Financial Stress,Long,Visual,Evening,1586,127,9,22,30,0.441,6,16.897856242118536,1.36
P0082,2026-05-15,Body Image,Long,Text,Night,2375,138,7,92,41,0.43,13,21.74736842105263,0.45
P0083,2026-06-06,Friendship Fallouts,Short,Visual,Night,1745,114,7,17,40,0.642,7,15.18624641833811,2.35
P0084,2026-05-17,Career Burnout,Long,Text,Morning,913,53,1,19,20,0.359,4,17.524644030668128,1.05
P0085,2026-06-28,Body Image,Short,Text,Evening,2788,221,13,38,100,0.711,19,20.98278335724534,2.63
P0086,2026-04-13,Imposter Syndrome,Long,Visual,Night,1455,67,3,31,52,0.657,11,19.93127147766323,1.68
P0087,2026-04-30,Dating,Long,Text,Morning,656,29,1,11,12,0.535,2,14.02439024390244,1.09
P0088,2026-03-07,Body Image,Short,Visual,Afternoon,1759,149,5,53,55,0.54,19,25.326890278567365,1.04
P0089,2026-06-25,Social Anxiety,Short,Text,Morning,1652,146,11,72,45,0.496,11,28.722760290556902,0.62
P0090,2026-06-11,Loneliness,Short,Text,Night,2375,161,10,57,120,0.63,17,26.610526315789475,2.11
P0091,2026-06-17,Family Pressure,Short,Visual,Morning,1232,80,3,13,35,0.388,5,16.761363636363637,2.69
P0092,2026-07-21,Family Pressure,Short,Text,Morning,888,56,3,8,18,0.637,2,14.076576576576578,2.25
P0093,2026-06-27,Family Pressure,Short,Text,Afternoon,1541,81,5,44,43,0.536,11,20.798182998053214,0.98
P0094,2026-07-19,Friendship Fallouts,Long,Text,Night,574,49,3,18,8,0.344,3,21.428571428571427,0.44
P0095,2026-05-06,Imposter Syndrome,Short,Text,Night,1736,119,9,24,71,0.586,9,21.226958525345623,2.96
P0096,2026-05-10,Family Pressure,Long,Text,Afternoon,902,72,5,20,19,0.429,6,19.900221729490024,0.95
P0097,2026-05-09,Imposter Syndrome,Short,Text,Afternoon,1957,121,6,49,48,0.556,15,19.826264690853346,0.98
P0098,2026-04-08,Financial Stress,Long,Visual,Afternoon,821,69,3,20,32,0.469,7,25.456760048721073,1.6
P0099,2026-03-17,Family Pressure,Long,Visual,Afternoon,781,36,2,19,20,0.605,6,18.30985915492958,1.05
P0100,2026-06-15,Loneliness,Long,Text,Night,1475,81,3,64,28,0.516,12,23.25423728813559,0.44
P0101,2026-07-28,Social Anxiety,Short,Text,Night,2215,126,9,35,112,0.645,13,23.06997742663657,3.2
P0102,2026-05-30,Social Anxiety,Long,Text,Morning,1882,89,3,75,86,0.414,23,28.108395324123276,1.15
P0103,2026-07-03,Body Image,Long,Text,Afternoon,1505,79,4,26,75,0.693,13,22.890365448504983,2.88
P0104,2026-03-08,Family Pressure,Long,Text,Night,844,73,2,20,21,0.189,5,21.97867298578199,1.05
P0105,2026-06-28,Loneliness,Long,Text,Afternoon,1576,117,9,66,38,0.555,14,26.015228426395936,0.58
P0106,2026-03-22,Career Burnout,Short,Text,Morning,1059,81,6,44,32,0.831,6,27.66761095372993,0.73
P0107,2026-03-13,Loneliness,Short,Text,Afternoon,1978,137,7,28,64,0.736,14,19.261880687563195,2.29
P0108,2026-06-25,Body Image,Long,Text,Afternoon,1669,143,7,39,72,0.189,13,26.363091671659678,1.85
P0109,2026-06-16,Financial Stress,Long,Text,Evening,1272,59,2,29,32,0.287,10,17.767295597484274,1.1
P0110,2026-07-17,Body Image,Short,Text,Morning,2043,146,4,72,46,0.384,20,23.348017621145374,0.64
P0111,2026-03-11,Social Anxiety,Long,Visual,Morning,1534,67,6,48,62,0.335,9,23.859191655801826,1.29
P0112,2026-04-09,Social Anxiety,Short,Visual,Morning,1784,151,6,33,33,0.686,8,18.637892376681613,1.0
P0113,2026-07-23,Family Pressure,Short,Text,Morning,1005,79,4,22,24,0.618,5,20.398009950248756,1.09
P0114,2026-04-12,Family Pressure,Long,Text,Evening,913,44,3,30,20,0.492,5,20.153340635268346,0.67
P0115,2026-03-28,Overthinking,Short,Visual,Evening,2098,86,3,76,82,0.815,13,24.737845567206865,1.08
P0116,2026-06-10,Overthinking,Short,Text,Night,1578,116,3,22,70,0.518,9,22.623574144486692,3.18
P0117,2026-05-17,Family Pressure,Short,Visual,Morning,1106,49,2,30,39,0.691,11,21.383363471971066,1.3
P0118,2026-07-15,Overthinking,Short,Visual,Evening,3098,155,7,132,49,0.484,16,21.739832149774045,0.37
P0119,2026-03-04,Loneliness,Long,Visual,Evening,2433,148,12,114,79,0.317,20,28.25729551993424,0.69
P0120,2026-06-01,Loneliness,Long,Visual,Night,2578,137,9,76,107,0.257,22,24.534522885958108,1.41
P0121,2026-07-12,Imposter Syndrome,Short,Text,Afternoon,1623,126,4,63,50,0.593,19,27.110289587184226,0.79
P0122,2026-05-08,Body Image,Long,Text,Night,1359,55,2,42,54,0.629,10,23.252391464311994,1.29
P0123,2026-06-24,Financial Stress,Short,Visual,Evening,2121,189,11,29,44,0.583,5,18.1989627534182,1.52
P0124,2026-03-08,Family Pressure,Long,Text,Evening,789,53,3,24,13,0.534,3,19.96197718631179,0.54
P0125,2026-04-24,Imposter Syndrome,Long,Visual,Night,1690,118,8,26,76,0.585,12,22.840236686390533,2.92
P0126,2026-05-10,Financial Stress,Long,Text,Evening,1465,62,2,44,22,0.183,9,16.99658703071672,0.5
P0127,2026-05-01,Friendship Fallouts,Short,Visual,Morning,1216,66,3,32,23,0.436,7,18.050986842105264,0.72
P0128,2026-07-04,Loneliness,Long,Visual,Night,2904,252,18,61,56,0.431,12,19.800275482093664,0.92
P0129,2026-04-26,Imposter Syndrome,Short,Visual,Evening,2134,138,9,44,86,0.62,11,22.727272727272727,1.95
P0130,2026-06-30,Loneliness,Short,Text,Evening,2520,163,11,77,72,0.565,24,22.77777777777778,0.94
P0131,2026-05-30,Friendship Fallouts,Long,Text,Evening,1347,72,4,22,18,0.584,6,13.585746102449889,0.82
P0132,2026-04-29,Imposter Syndrome,Long,Text,Evening,1073,71,5,36,44,0.44,11,26.933830382106244,1.22
P0133,2026-07-16,Dating,Short,Text,Morning,1691,88,5,27,77,0.66,18,21.37788290952099,2.85
P0134,2026-05-10,Career Burnout,Short,Visual,Night,2411,100,7,49,114,0.621,28,22.065532973869765,2.33
P0135,2026-05-15,Overthinking,Long,Visual,Afternoon,1551,128,10,34,70,0.549,8,26.11218568665377,2.06
P0136,2026-03-04,Family Pressure,Long,Visual,Evening,1098,50,1,29,23,0.528,7,17.714025500910747,0.79
P0137,2026-03-14,Friendship Fallouts,Short,Text,Morning,1098,73,5,17,30,0.552,7,18.123861566484518,1.76
P0138,2026-03-27,Friendship Fallouts,Long,Visual,Night,893,36,2,7,30,0.538,4,14.781634938409855,4.29
P0139,2026-06-21,Social Anxiety,Long,Text,Night,1377,88,5,63,77,0.637,21,34.0958605664488,1.22
P0140,2026-07-01,Financial Stress,Short,Visual,Evening,1565,120,5,18,36,0.394,5,16.86900958466454,2.0
P0141,2026-03-19,Dating,Short,Text,Night,1318,55,1,54,36,0.513,10,23.29286798179059,0.67
P0142,2026-07-23,Overthinking,Short,Visual,Afternoon,1612,141,10,21,49,0.687,11,20.25434243176179,2.33
P0143,2026-07-21,Body Image,Short,Visual,Morning,1947,137,5,93,48,0.686,24,27.52953261427838,0.52
P0144,2026-06-22,Loneliness,Short,Text,Night,2646,173,7,51,72,0.8,12,19.12320483749055,1.41
P0145,2026-03-26,Body Image,Long,Text,Morning,1043,44,3,45,53,0.61,17,29.86577181208054,1.18
P0146,2026-04-10,Family Pressure,Short,Text,Morning,1099,85,6,13,37,0.464,5,19.69972702456779,2.85
P0147,2026-03-01,Family Pressure,Short,Visual,Afternoon,1573,109,7,16,56,0.423,7,18.88111888111888,3.5
P0148,2026-03-09,Loneliness,Long,Text,Evening,2143,144,5,63,72,0.598,14,23.93840410639291,1.14
P0149,2026-03-19,Family Pressure,Long,Text,Night,1079,47,2,28,14,0.683,6,15.384615384615385,0.5
P0150,2026-03-30,Family Pressure,Long,Visual,Night,349,24,1,6,10,0.363,2,19.197707736389685,1.67
P0151,2026-04-06,Friendship Fallouts,Short,Visual,Evening,1964,156,10,58,66,0.562,18,25.203665987780038,1.14
P0152,2026-07-24,Dating,Short,Visual,Evening,2405,177,11,81,45,0.708,21,22.14137214137214,0.56
P0153,2026-05-17,Body Image,Long,Visual,Night,1719,97,7,28,80,0.485,17,22.164048865619545,2.86
P0154,2026-03-21,Loneliness,Long,Text,Night,1587,86,5,85,71,0.468,16,32.67170762444864,0.84
P0155,2026-05-04,Overthinking,Short,Text,Evening,2318,183,6,87,81,0.865,29,27.89042277825712,0.93
P0156,2026-05-08,Social Anxiety,Short,Visual,Morning,2581,223,8,126,115,0.432,20,34.42464161177838,0.91
P0157,2026-07-11,Overthinking,Short,Visual,Night,2590,112,7,59,98,0.482,13,20.617760617760617,1.66
P0158,2026-07-04,Imposter Syndrome,Long,Visual,Night,1727,71,2,35,53,0.404,13,17.863346844238563,1.51
P0159,2026-05-25,Dating,Long,Text,Night,1106,59,5,25,31,0.693,5,19.122965641952984,1.24
P0160,2026-06-14,Financial Stress,Short,Visual,Evening,2264,115,4,65,73,0.723,14,21.753533568904594,1.12
P0161,2026-06-25,Imposter Syndrome,Long,Text,Morning,1373,83,5,31,32,0.456,11,18.64530225782957,1.03
P0162,2026-03-30,Dating,Long,Text,Evening,1754,90,3,18,61,0.443,9,16.904218928164198,3.39
P0163,2026-03-14,Loneliness,Short,Text,Night,2115,186,7,103,108,0.739,33,36.17021276595745,1.05
P0164,2026-03-14,Family Pressure,Long,Text,Night,1215,86,3,10,45,0.54,7,18.806584362139915,4.5
P0165,2026-06-21,Family Pressure,Long,Visual,Evening,1460,66,2,38,34,0.64,7,18.15068493150685,0.89
P0166,2026-04-10,Imposter Syndrome,Short,Visual,Afternoon,1612,111,5,58,40,0.603,12,23.883374689826304,0.69
P0167,2026-04-27,Body Image,Short,Text,Morning,1469,102,4,54,70,0.314,19,29.884275017018382,1.3
P0168,2026-07-06,Dating,Long,Visual,Afternoon,1396,63,2,57,25,0.399,10,21.23925501432665,0.44
P0169,2026-06-29,Body Image,Long,Text,Night,2048,139,4,47,72,0.573,10,22.4609375,1.53
P0170,2026-04-18,Family Pressure,Long,Visual,Night,1232,54,2,14,33,0.457,7,14.488636363636365,2.36
P0171,2026-06-15,Overthinking,Short,Visual,Evening,2294,110,3,76,94,0.674,14,24.978204010462076,1.24
P0172,2026-05-16,Financial Stress,Long,Visual,Evening,2163,180,13,70,49,0.51,19,23.69394359685622,0.7
P0173,2026-07-16,Overthinking,Long,Visual,Night,2200,137,9,64,92,0.491,13,25.40909090909091,1.44
P0174,2026-06-25,Imposter Syndrome,Long,Text,Night,988,78,5,26,32,0.404,8,23.88663967611336,1.23
P0175,2026-04-29,Financial Stress,Short,Visual,Night,1833,91,6,19,25,0.619,4,11.483906164757228,1.32
P0176,2026-06-06,Loneliness,Short,Text,Night,2614,199,14,79,86,0.592,19,24.90436113236419,1.09
P0177,2026-04-02,Loneliness,Short,Text,Morning,1952,120,8,64,108,0.731,29,29.815573770491806,1.69
P0178,2026-03-26,Friendship Fallouts,Long,Visual,Night,818,56,4,10,22,0.399,4,17.237163814180928,2.2
P0179,2026-06-13,Friendship Fallouts,Long,Visual,Afternoon,969,73,6,11,16,0.515,4,15.067079463364294,1.45
P0180,2026-05-26,Career Burnout,Short,Text,Evening,2125,137,6,86,64,0.57,19,26.11764705882353,0.74
